DTName,Key,Value
DT_DUMMY,m_ReActType,NRT_NO_ACTION
DT_DUMMY,m_CrashSuperArmorLevel,NSAL_NO
DT_DUMMY,m_BackSpeedX,0
DT_DUMMY,m_HitEffect,AB_FX_DUMMY
DT_DUMMY,m_HitEffectAir,AB_FX_DUMMY
DT_DUMMY_SKILL,m_ReActType,NRT_NO_ACTION
DT_DUMMY_SKILL,m_CrashSuperArmorLevel,NSAL_SKILL
DT_DUMMY_SKILL,m_BackSpeedX,0
DT_DUMMY_SKILL,m_HitEffect,AB_FX_DUMMY
DT_DUMMY_SKILL,m_HitEffectAir,AB_FX_DUMMY
DT_DUMMY_HYPER,m_ReActType,NRT_NO_ACTION
DT_DUMMY_HYPER,m_CrashSuperArmorLevel,NSAL_HYPER
DT_DUMMY_HYPER,m_BackSpeedX,0
DT_DUMMY_HYPER,m_HitEffect,AB_FX_DUMMY
DT_DUMMY_HYPER,m_HitEffectAir,AB_FX_DUMMY
DT_DUMMY_CRASH_BARRIER,m_ReActType,NRT_NO_ACTION
DT_DUMMY_CRASH_BARRIER,m_HitEffect,AB_FX_DUMMY
DT_DUMMY_CRASH_BARRIER,m_HitEffectAir,AB_FX_DUMMY
DT_DUMMY_CRASH_BARRIER,m_listDefenderHitBuff,[{'m_HitBuff': 'DEBUFF_COMMON_CRASH_BARRIER'}]
DT_NKM_UNIT_AIR_DRONE_FIGHTER_USN_ATTACK1,m_ReActType,NRT_NO_ACTION
DT_NKM_UNIT_AIR_DRONE_FIGHTER_USN_ATTACK1,m_BackSpeedX,0
DT_NKM_UNIT_AIR_DRONE_FIGHTER_USN_ATTACK1,m_ReAttackCount,3
DT_NKM_UNIT_AIR_DRONE_FIGHTER_USN_ATTACK1,m_fReAttackGap,0.07
DT_NKM_UNIT_AIR_DRONE_FIGHTER_USN_ATTACK1,m_HitSoundName,FX_COMBAT_ALL_ONESHOT_FIRE_SMALL_02
DT_NKM_UNIT_AIR_DRONE_FIGHTER_USN_ATTACK1,m_HitEffect,AB_FX_HIT_GUN_A_ORANGE
DT_DE_UNIT_AIR_DRONE_ATTACKER_ATTACK1,m_ReActType,NRT_NO_ACTION
DT_DE_UNIT_AIR_DRONE_ATTACKER_ATTACK1,m_BackSpeedX,300
DT_DE_UNIT_AIR_DRONE_ATTACKER_ATTACK1,m_ReAttackCount,2
DT_DE_UNIT_AIR_DRONE_ATTACKER_ATTACK1,m_fReAttackGap,0.5
DT_DE_UNIT_AIR_DRONE_ATTACKER_ATTACK1,m_HitSoundName,FX_COMBAT_ALL_GUN_FIRE_SMALL
DT_DE_UNIT_AIR_DRONE_ATTACKER_ATTACK1,m_HitEffect,AB_FX_HIT_SLASH_A_BLUE
DT_DE_UNIT_AIR_DRONE_ATTACKER_ATTACK1,m_bHitEffectLand,True
DT_NKM_UNIT_DRONE_TANK_ATTACK1,m_ReActType,NRT_NO_ACTION
DT_NKM_UNIT_DRONE_TANK_ATTACK1,m_BackSpeedX,100
DT_NKM_UNIT_DRONE_TANK_ATTACK1,m_fStopTimeDef,0.2
DT_NKM_UNIT_DRONE_TANK_ATTACK1,m_fCameraCrashGap,0
DT_NKM_UNIT_DRONE_TANK_ATTACK1,m_fCameraCrashTime,0.15
DT_NKM_UNIT_DRONE_TANK_ATTACK1,m_HitEffect,AB_fx_hit_explosion_fire
DT_NKM_UNIT_DRONE_TANK_ATTACK1,m_bHitEffectLand,True
DT_NKM_UNIT_M_SL_AIR_HELI_ATTACK1,m_ReActType,NRT_NO_ACTION
DT_NKM_UNIT_M_SL_AIR_HELI_ATTACK1,m_BackSpeedX,200
DT_NKM_UNIT_M_SL_AIR_HELI_ATTACK1,m_fCameraCrashGap,0
DT_NKM_UNIT_M_SL_AIR_HELI_ATTACK1,m_fCameraCrashTime,0.15
DT_NKM_UNIT_M_SL_AIR_HELI_ATTACK1,m_HitSoundName,FX_COMBAT_ALL_HIT_EXPLOSION_FIRE_SMALL
